"Last Name","নামের শেষাংশ"
"Last name can't be empty","নামের শেষাংশ খালি রাখা যাবে না"
"Last Url","সর্বশেষ ইউআরএল"
"Last Viewed Items","সর্বশেষ প্রদর্শিত আইটেম"
"Leave empty for default (15 minutes).","প্রাথমিক সময় (১৫ মিনিট) এর জন্য খালি রাখুন।"
"Leave empty for default (2). Valid range: 1-4","প্রাথমিক (২) এর জন্য খালি রাখুন। বৈধ সীমা: ১-৪"
"Lifetime Sales","জীবনব্যাপী বিক্রয়"
"Log In","লগ ইন"
"Log in or Create an Account","লগইন করুন অথবা একটি অ্যাকাউন্ট তৈরি করুন"
"Log Out","লগ আউট"
"Login","লগ ইন"
"Login and password are required","লগইন এবং পাসওয়ার্ড প্রয়োজন"
"Login Information","লগইন তথ্য"
"Login or Create an Account","লগইন করুন অথবা একটি অ্যাকাউন্ট তৈরি করুন"
"M.I.","M.I."
"Manage Addresses","ঠিকানাগুলি পরিচালনা করুন"
"Manage Customers","গ্রাহকদের পরিচালনা করুন"
"Missing email, skipping the record","ইমেল অনুপস্থিত,তথ্যটি বাতিল করা হচ্ছে"
"Missing firstname, skipping the record","নামের প্রথমা অংশ অনুপস্থিত, তথ্যটি বাতিল করা হচ্ছে"
"Missing lastname, skipping the record","নামের শেষ অংশ অনুপস্থিত, তথ্যটি বাতিল করা হচ্ছে"
"MM","MM"
"Month","মাস"
"My Account","আমার একাউন্ট"
"My Account Dashboard","আমার একাউন্ট ড্যাশবোর্ড"
"My Dashboard","আমার ড্যাশবোর্ড"
"My Orders","আমার অর্ডারগুলি"
"My Reviews","আমার মতামতগুলি"
"My Tags","আমার ট্যাগগুলি"
"My Wishlist","আমার পছন্দ তালিকা"
"n/a","n/a"
"Name","নাম"
"Name and Address Options","নাম এবং ঠিকানা বিকল্পসমূহ"
"Never","কখনই নয়"
"New account","নতুন অ্যাকাউন্ট"
"New account confirmation key","নতুন অ্যাকাউন্ট নিশ্চিতকরণ কোড"
"New account confirmed","নতুন অ্যাকাউন্টটি সুনিশ্চিত হয়েছে"
"New Address","নতুন ঠিকানা"
"New Address Entry","নতুন ঠিকানা সংযুক্তি"
"New Customer","নতুন গ্রাহক"
"New Customer Address","নতুন গ্রাহকের ঠিকানা"
"New Customer Group","নতুন গ্রাহক গোষ্ঠী"
"New Customer Groups","নতুন গ্রাহক গোষ্ঠীগুলি"
"New Customers","নতুন গ্রাহকগুলি"
"New Group","নতুন গোষ্ঠী"
"New Password","নতুন পাসওয়ার্ড"
"New password","নতুন পাসওয়ার্ড"
"Newsletter","নিউজলেটার"
"Newsletter Finish","নিউজলেটার সমাপ্ত করুন"
"Newsletter Information","নিউজলেটার তথ্য"
"Newsletter Received","নিউজলেটার গৃহীত হয়েছে"
"Newsletter Start","নিউজলেটার শুরু"
"Newsletter Subscription","নিউজলেটার সদস্যতা"
"Newsletters","নিউজলেটারগুলি"
"No item specified.","উল্লিখিত আইটেম নেই."
"No Items Found","কোন আইটেম পাওয়া যায়নি"
"No Newsletter Found","কোন নিউজলেটার পাওয়া যায়নি"
"No product collections found","পণ্য সংগ্রহ পাওয়া যায় নি"
"Not confirmed, can login","নিশ্চিত করা হয়নি, লগইন করতে পারেন"
"Not confirmed, cannot login","নিশ্চিত করা হয়নি, লগইন করতে পারবেন না"
"Not Sent","পাঠানো হয়নি"
"Number of lines in a street address ","রাস্তার ঠিকানার মধ্যে বিদ্যমান লাইন সমুহ"
"Offline","অফলাইন"
"Online","অনলাইন"
"Online Customers","অনলাইন গ্রাহক সমূহ"
"Online Customers Options","অনলাইন গ্রাহকদের বিকল্পসমূহ"
"Online Minutes Interval","অনলাইন মিনিট বিরতি"
"or","অথবা"
"Order #","অর্ডার #"
"Order #%s (%s)","অর্ডার #%s (%s)"
"Order List...","অর্ডার তালিকা ..."
"Order Total","সর্বমোট অর্ডার"
"Orders","অর্ডারগুলি"
"Password","পাসওয়ার্ড"
"Password can't be empty","পাসওয়ার্ড খালি রাখা যাবে না"
"Password fields can't be empty.","পাসওয়ার্ড ক্ষেত্র খালি রাখা যাবে না."
"Password forgotten","পাসওয়ার্ড ভুলে গেছেন"
"Password Management","পাসওয়ার্ড ব্যবস্থাপনা"
"Password minimal length must be more %s","পাসওয়ার্ডের সর্বনিম্ন দৈর্ঘ্য হতে হবে %s এর বেশী"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","পাসওয়ার্ড কমপক্ষে ৬ অক্ষর থাকা আবশ্যক. প্রথম বা শেষের শূণ্যস্থান অগ্রাহ্য করা হবে."
"Password Options","পাসওয়ার্ড বিকল্পসমূহ"
"Paused","থামানো হয়েছে"
"Payment Method","অর্থ প্রদান পদ্ধতি"
"PDF","PDF"
"Pending","অমীমাংসিত"
"Per Website","প্রতি ওয়েবসাইট"
"Personal Information","ব্যক্তিগত তথ্য"
"Please enter your email below and we'll send you a new password.","অনুগ্রহ করে আপনার ইমেল নীচে প্রবেশ করান এবং আমরা একটি নতুন পাসওয়ার্ড পাঠাব."
"Please enter your email below and we'll send you confirmation link for it.","অনুগ্রহ করে আপনার ইমেল নীচে প্রবেশ করান এবং আমরা এটা করার জন্য আপনাকে নিশ্চয়তা লিঙ্ক পাঠাব."
"Please enter your email.","অনুগ্রহ করে আপনার ইমেল ঠিকানাটি লিখুন."
"Please make sure your passwords match.","অনুগ্রহ করে নিশ্চিত করুন যে আপনার পাসওয়ার্ডগুলি মিলেছে"
"Please select","নির্বাচন করুন"
"Please select region, state or province","অঞ্চল, রাজ্য অথবা প্রদেশ নির্বাচন করুন"
"Please, check your e-mail for confirmation key.","আপনার ইমেইল চেক করুন নিশ্চিতকরণ কোড এর জন্য।"
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","মুল্য"
"Primary Billing Address","প্রাথমিক বিল প্রদানের ঠিকানা"
"Primary Shipping Address","প্রাথমিক শিপিং ঠিকানা"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product","পণ্য"
"Product ID","পণ্য ID"
"Product Name","পণ্যের নাম"
"Product name","পণ্যের নাম"
"Product Reviews","পণ্য প্রদর্শন"
"Product Tags","পণ্যের বিভাগ"
"Purchase On","ক্রয় করুন"
"Purchased at","ক্রয়ের সময়"
"Qty","পরিমান"
"Recent Orders","সাম্প্রতিক অর্ডার"
"Records for ""","Records for """
"Refunded","ফেরত"
"Registered Customers","নিবন্ধিত গ্রাহকরা"
"Remove","Remove"
"Require Emails Confirmation","ইমেল নিশ্চিতকরণ প্রয়োজন"
"Retrieve address data","ঠিকানা তথ্য আহরণ করুন"
"Retrieve address info","ঠিকানা তথ্য পুনরুদ্ধার"
"Retrieve customer addresses","গ্রাহকের ঠিকানা পুনরুদ্ধার"
"Retrieve customer data","গ্রাহকের তথ্য আহরণ"
"Retrieve customer's groups","গ্রাহকের গ্রুপ পুনরুদ্ধার"
"Retrieve customers","গ্রাহকদের পুনরুদ্ধার"
"Retrieve customers info","গ্রাহকদের তথ্য পুনরুদ্ধার করুন"
"Retrieve your confirmation link here","আপনার নিশ্চিতকরণের লিঙ্কটি এখানে পুনরুদ্ধার করুন"
"Retrieve your password here","আপনার পাসওয়ার্ড পুনরুদ্ধার করুন এখানে"
"Sales Statistics","বিক্রয় পরিসংখ্যান"
"Save","সংরক্ষণ"
"Save Address","ঠিকানা সংরক্ষণ করুন"
"Save Customer","গ্রাহক সংরক্ষণ করুন"
"Save Customer Group","গ্রাহক গ্রুপ সংরক্ষণ করুন"
"Save Password","পাসওয়ার্ড সংরক্ষণ করুন"
"Saved ","সংরক্ষিত "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send auto-generated password","Send auto-generated password"
"Send confirmation link","সুনিশ্চিতকরণ লিংক পাঠান"
"Send welcome email","স্বাগতম ইমেল পাঠান"
"Send Welcome Email after Confirmation","নিশ্চিতকরণের পরে স্বাগতম ইমেল পাঠান"
"Sending","পাঠানো হচ্ছে"
"Sent","পাঠানো হয়েছে"
"Session Start Time","অধিবেশন শুরুর সময়"
"Set as Default Billing Address","বিল প্রদানের ঠিকানা ডিফল্ট হিসাবে সেট করুন"
"Set as Default Shipping Address","শিপিং ঠিকানা ডিফল্ট হিসাবে সেট করুন"
"Share Customer Accounts","গ্রাহক অ্যাকাউন্ট শেয়ার করুন"
"Ship to First name","প্রথম নাম অনুসারে পাঠান"
"Ship to Last name","শেষ নাম অনুসারে পাঠান"
"Shipped to First Name","প্রথম নাম অনুসারে পাঠানো হয়েছে"
"Shipped to Last Name","শেষ নাম অনুসারে পাঠানো হয়েছে"
"Shipped to Name","নাম অনুসারে পাঠান"
"Shipping Information","প্রেরণের তথ্য"
"Shipping Method","প্রেরণের পদ্ধতি"
"Shopping Cart","শপিং কার্ট"
"Shopping Cart - %d item(s)","Shopping Cart - %d item(s)"
"Show date of birth","জন্ম তারিখ দেখান"
"Show middle name (initial)","মাঝের নাম (প্রাথমিক) দেখান"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Show Tax/VAT number","ট্যাক্স / ভ্যাট নম্বর দেখান"
"Sign Up for Newsletter","নিউজলেটার জন্য সাইন আপ করুন"
"Sign up for our newsletter","আমাদের নিউজলেটারের এর জন্য সাইন আপ করুন"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"SKU","SKU"
"State/Province","রাজ্য / প্রদেশ"
"Status","অবস্থা"
"Store","দোকান"
"Store View","দোকান দেখুন"
"Street Address","রাস্তার ঠিকানা"
"Street Address ","রাস্তার ঠিকানা"
"Subject","বিষয়"
"Submit","জমা দিন"
"Subscribe","সদস্য হউন"
"Subscribe to newsletter","নিউজলেটার সদস্য হউন"
"Subscribed to Newsletter?","নিউজলেটার সদস্য হউন?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"Tag Name","ট্যাগ নাম"
"Tax Class","আয়কর শ্রেণী"
"Tax class","আয়কর শ্রেণী"
"Tax/VAT number","আয়কর / ভ্যাট নম্বর"
"TAX/VAT number is required.","কর প্রদানকারীর / ভ্যাট নম্বর প্রয়োজন."
"Telephone","টেলিফোন"
"Text","পাঠ্য"
"Text One Line","Text One Line"
"Thank you for registering with %s","Thank you for registering with %s"
"The address does not belong to this customer","ঠিকানাটি এই গ্রাহকের সাথে সম্পর্কিত নয়"
"The address was successfully deleted","ঠিকানাটি সফলভাবে মুছে ফেলা হয়েছে"
"The address was successfully saved","ঠিকানাটি সফলভাবে সংরক্ষিত হয়েছে"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","গ্রাহকের ইচ্ছাতালিকায় কোন আইটেম এই মুহূর্তে নেই"
"There are no items in customer's shopping cart at the moment","গ্রাহকের শপিং কার্টে কোন আইটেম এই মুহূর্তে নেই"
"There was an error while deleting the address","ঠিকানাটি মুছে ফেলার সময় একটি ত্রুটি ঘটেছে"
"This account is not confirmed.","এই অ্যাকাউন্টটি সুনিশ্চিত করা হয়নি."
"This customer has no saved addresses.","এই গ্রাহকের কোন সংরক্ষিত ঠিকানা নেই."
"This e-mail does not require confirmation.","এই ই-মেইল ​​নিশ্চিতকরণ আবশ্যকতা নেই."
"This email address was not found in our records","এই ইমেল ঠিকানা আমাদের রেকর্ডে খুঁজে পাওয়া যায় নি"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","এই ইমেইল এর পরিবর্তে ডিফল্ট স্বাগতম ইমেইল একাউন্ট নিশ্চিতকরণ করার পরে প্রেরিত হবে."
"This is My Primary %s Address","This is My Primary %s Address"
"To Cart","কার্ট এ"
"Total","সর্বমোট"
"Type","ধরন"
"Unknown","অপরিচিত"
"Unsubscribe from newsletter","নিউজলেটার থেকে সদস্যতামুক্ত"
"Update","আপডেট করুন"
"Update customer address data","গ্রাহকের ঠিকানা তথ্য আপডেট করুন"
"Update customer data","গ্রাহকের তথ্য আপডেট করুন"
"Use as my default billing address","আমার ডিফল্ট বিলিং ঠিকানা হিসাবে ব্যবহার করুন"
"Use as my default shipping address","আমার ডিফল্ট শিপিং ঠিকানা হিসাবে ব্যবহার করুন"
"Use as My Primary %s Address","Use as My Primary %s Address"
"User description","ব্যবহারকারীর বিবরণ"
"View","দেখান"
"View Order","অর্ডার দেখান"
"View Order List","অর্ডার তালিকা দেখান"
"Visible In","দৃশ্যমান"
"Visitor","পরিদর্শক"
"Visitors Only","শুধুমাত্র পরিদর্শক"
"Website","ওয়েবসাইট"
"Welcome Email","স্বাগত ইমেইল"
"Wishlist","ইচ্ছাতালিকা"
"Wishlist - %d item(s)","Wishlist - %d item(s)"
"Wrong confirmation key.","ভুল নিশ্চয়তা চাবি."
"Wrong customer account specified.","ভুল গ্রাহকের অ্যাকাউন্ট নির্দিষ্ট হয়েছে."
"Wrong email.","ভুল ইমেইল"
"Wrong region id by selected country","নির্বাচিত দেশের কর্তৃক ভুল অঞ্চল ID"
"Wrong transactional account email type.","লেনদেনের ভুল ইমেল অ্যাকাউন্ট ধরন."
"XML","XML"
"Year","বৎসর"
"You are currently not subscribed to any newsletter.","আপনি বর্তমানে কোন নিউজলেটার সদস্যতা তে নেই."
"You are currently not subscribed to our newsletter","আপনি বর্তমানে আমাদের নিউজলেটার সদস্য নন."
"You are currently subscribed to 'General Subscription'.","আপনি 'সাধারণ সাবস্ক্রিপশন' সদস্য."
"You are currently subscribed to our newsletter","আপনি আমাদের নিউজলেটার সাবস্ক্রাইব"
"You are currently subscribed to our newsletter.","আপনি আমাদের নিউজলেটার সাবস্ক্রাইব"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","আপনি সফলভাবে লগ আউট হয়েছেন এবং আমাদের হোমপেজে ৫ সেকেন্ডের মধ্যে পুনঃনির্দেশিত করা হবে."
"You have no additional address entries in your address book.","আপনার রেজিষ্ট্রি তে কোন বাড়তি ঠিকানা নেই"
"You have no additional entries in your address book.","আপনার রেজিষ্ট্রি তে কোন বাড়তি অন্তর্ভুক্তি নেই."
"You have no default billing address in your address book.","আপনার রেজিষ্ট্রি তে কোন ডিফল্ট বিলিং ঠিকানা নেই"
"You have no default shipping address in your address book.","আপনার রেজিষ্ট্রি তে কোন ডিফল্ট শিপিং ঠিকানা নেই"
"You have no primary entries in your address book.","আপনার রেজিষ্ট্রি তে কোন প্রাথমিক অন্তর্ভুক্তি নেই."
"You have not set a primary billing address.","আপনি একটি প্রাথমিক বিলিং ঠিকানা সেট করেন নি."
"You have not set a primary shipping address.","আপনি একটি প্রাথমিক শিপিং ঠিকানা সেট করেন নি."
"You have placed no orders yet.","আপনি এখনও কোন অর্ডার করেন নি"
"You have placed no products yet.","আপনি এখনও কোন পণ্য স্থাপন করেন নি."
"You're now Logged Out","আপনি এখন লগ আউট"
"Your account balance is: %s","Your account balance is: %s"
"YYYY","YYYY"
"ZIP","ZIP"
"ZIP/Post Code","জিপ / পোস্ট কোড"
"ZIP/Postal Code","জিপ / পোস্ট কোড"
"Zip/Postal Code","জিপ / পোস্ট কোড"
